Rank,Probability,Label,code,Occupation
350.,0.63,na,47-4011,Construction and Building InspectorsConstruction and Building Inspectors
351.,0.64,na,51-9031,Cutters and TrimmersCutters and Trimmers Hand
352.,0.64,na,49-9071,Maintenance and Repair WorkersMaintenance and Repair Workers General
353.,0.64,na,23-1021,Administrative Law JudgesAdministrative Law Judges Adjudicators and Hearing Officers
354.,0.64,na,43-5081,Stock Clerks and Order FillersStock Clerks and Order Fillers
355.,0.64,na,51-8012,Power Distributors and DispatchersPower Distributors and Dispatchers
356.,0.64,na,47-2132,Insulation WorkersInsulation Workers Mechanical
357.,0.65,na,19-4061,Social Science Research AssistantsSocial Science Research Assistants
358.,0.65,na,51-4041,MachinistsMachinists
359.,0.65,na,15-1150,Computer Support SpecialistsComputer Support Specialists
360.,0.65,na,25-4021,LibrariansLibrarians
361.,0.65,na,49-2097,Electronic Home Entertainment Equipment Installers and RepairersElectronic Home Entertainment Equipment Installers and Repairers
362.,0.65,na,49-9021,HeatingHeating Air Conditioning and Refrigeration Mechanics and Installers
363.,0.65,na,53-7041,Hoist and Winch OperatorsHoist and Winch Operators
364.,0.66,na,37-2021,Pest Control WorkersPest Control Workers
365.,0.66,na,51-9198,Helpers-Production WorkersHelpers-Production Workers
366.,0.66,na,43-9111,Statistical AssistantsStatistical Assistants
367.,0.66,na,37-2011,Janitors and CleanersJanitors and Cleaners Except Maids and Housekeeping Cleaners
368.,0.66,na,49-3051,Motorboat Mechanics and Service TechniciansMotorboat Mechanics and Service Technicians
369.,0.67,na,51-9196,Paper Goods Machine SettersPaper Goods Machine Setters Operators and Tenders
370.,0.67,na,51-4071,Foundry Mold and CoremakersFoundry Mold and Coremakers
371.,0.67,na,19-2021,Atmospheric and Space ScientistsAtmospheric and Space Scientists
372.,0.67,1,53-3021,Bus DriversBus Drivers Transit and Intercity
373.,0.67,na,33-9092,LifeguardsLifeguards Ski Patrol and Other Recreational Protective Service Workers
374.,0.67,na,49-9041,Industrial Machinery MechanicsIndustrial Machinery Mechanics
375.,0.68,na,43-5052,Postal Service Mail CarriersPostal Service Mail Carriers
376.,0.68,na,47-5071,RoustaboutsRoustabouts Oil and Gas
377.,0.68,na,47-2011,BoilermakersBoilermakers
378.,0.68,na,17-3013,Mechanical DraftersMechanical Drafters
